iter	Logloss
0	0.4810076569
1	0.4090404083
2	0.3820702213
3	0.3701381376
4	0.3651939359
5	0.363063251
6	0.3609869902
7	0.3604223057
8	0.3595871329
9	0.3593613246
10	0.3592460294
11	0.3589140455
12	0.3585147098
13	0.3584331647
14	0.3583841103
15	0.3582281967
16	0.358031437
17	0.357994307
18	0.3578829456
19	0.3577637831
20	0.3576800621
21	0.357616509
22	0.3575786607
23	0.3575587748
24	0.3575366015
25	0.3574646013
26	0.3574127112
27	0.3573947058
28	0.3572824553
29	0.3571978003
30	0.3571637222
31	0.3571212529
32	0.3570760946
33	0.3570391233
34	0.3569830741
35	0.3569497367
36	0.3569244102
37	0.3569157342
38	0.3569052578
39	0.3568900214
40	0.3568774769
41	0.3568649849
42	0.3568494518
43	0.3568294035
44	0.3568163348
45	0.356807199
46	0.3567946741
47	0.3567830407
48	0.3567665646
49	0.3567437996
50	0.3567179007
51	0.3566982832
52	0.3566693835
53	0.3566368706
54	0.3566174286
55	0.3566008097
56	0.3565929555
57	0.3565863425
58	0.3565722523
59	0.3565546875
60	0.3565175989
61	0.3564958508
62	0.3564867795
63	0.3564553311
64	0.3564455396
65	0.3564385929
66	0.3564318851
67	0.3564223637
68	0.3563970562
69	0.3563823037
70	0.3563760355
71	0.3563684597
72	0.3563631676
73	0.35635359
74	0.3563472544
75	0.3563386631
76	0.3563305632
77	0.3563234102
78	0.3563136445
79	0.3562880854
80	0.3562813757
81	0.3562705132
82	0.3562621789
83	0.3562536323
84	0.3562482
85	0.3562405373
86	0.3562331105
87	0.3562265983
88	0.3562210916
89	0.3562152315
90	0.3562109465
91	0.3561911302
92	0.3561844414
93	0.3561758134
94	0.3561618278
95	0.3561565001
96	0.3561432625
97	0.3561397096
98	0.356132642
99	0.3561219077
100	0.3561074882
101	0.3561000149
102	0.3560952787
103	0.3560867715
104	0.3560808105
105	0.3560575262
106	0.3560538253
107	0.3560460866
108	0.3560377677
109	0.3560281327
110	0.356023665
111	0.3560071987
112	0.355986754
113	0.3559707426
114	0.3559634172
115	0.3559583042
116	0.3559516759
117	0.3559463333
118	0.3559400726
119	0.355928276
120	0.3559220316
121	0.3559160233
122	0.3559108073
123	0.3559055007
124	0.3558965704
125	0.355885372
126	0.3558794987
127	0.3558734979
128	0.3558685337
129	0.3558623778
130	0.3558567795
131	0.3558507147
132	0.3558456987
133	0.3558392093
134	0.3558228818
135	0.3558173685
136	0.3558116487
137	0.3558047419
138	0.3558003227
139	0.3557941636
140	0.3557841367
141	0.3557795132
142	0.3557730544
143	0.3557676178
144	0.3557621487
145	0.3557562369
146	0.3557376901
147	0.3557329991
148	0.3557276104
149	0.3557239206
150	0.3557090254
151	0.3557043693
152	0.355699563
153	0.3556912577
154	0.3556865034
155	0.3556793129
156	0.3556744985
157	0.3556704018
158	0.3556671848
159	0.3556622273
160	0.3556586767
161	0.3556551194
162	0.3556416198
163	0.3556374732
164	0.3556334445
165	0.3556292029
166	0.3556241563
167	0.355619583
168	0.3556087827
169	0.3556031128
170	0.3555889174
171	0.3555834889
172	0.3555728251
173	0.3555668906
174	0.3555552978
175	0.3555511811
176	0.3555454631
177	0.3555417775
178	0.3555383575
179	0.355533241
180	0.3555243658
181	0.3555197974
182	0.3555138031
183	0.3555085109
184	0.3555029876
185	0.3554991089
186	0.355494538
187	0.3554876232
188	0.3554819541
189	0.3554781925
190	0.3554747971
191	0.3554660922
192	0.3554613823
193	0.3554555767
194	0.3554492904
195	0.3554442477
196	0.3554403621
197	0.3554346303
198	0.355430909
199	0.355425356
200	0.3554211773
201	0.355413831
202	0.3554096734
203	0.3554054591
204	0.3553969786
205	0.3553914308
206	0.3553865553
207	0.3553803409
208	0.3553753844
209	0.3553696513
210	0.355365473
211	0.3553570852
212	0.3553516501
213	0.3553445572
214	0.3553398819
215	0.3553357186
216	0.3553321728
217	0.3553278756
218	0.3553242223
219	0.3553207633
220	0.3553169568
221	0.3553130024
222	0.3553073953
223	0.3552987445
224	0.3552924605
225	0.3552879251
226	0.3552805986
227	0.355273489
228	0.3552676296
229	0.3552630283
230	0.3552582572
231	0.3552542085
232	0.3552464154
233	0.3552407124
234	0.3552353025
235	0.3552304891
236	0.3552249917
237	0.3552184188
238	0.3552130357
239	0.355205027
240	0.3552019069
241	0.3551968967
242	0.3551922948
243	0.3551868955
244	0.3551833546
245	0.3551796844
246	0.3551763677
247	0.3551722436
248	0.3551680042
249	0.3551641499
250	0.3551597567
251	0.3551554945
252	0.3551511583
253	0.3551466803
254	0.3551417585
255	0.3551387665
256	0.355136748
257	0.3551318062
258	0.3551265178
259	0.355120824
260	0.3551168862
261	0.3551127595
262	0.3551072009
263	0.3551023663
264	0.3550970893
265	0.3550917232
266	0.3550789313
267	0.3550729039
268	0.3550676746
269	0.3550637591
270	0.3550598178
271	0.3550506897
272	0.3550465955
273	0.3550422635
274	0.3550380095
275	0.3550344597
276	0.355030315
277	0.3550264063
278	0.3550198434
279	0.3550151875
280	0.355011075
281	0.3550056066
282	0.354998803
283	0.3549950596
284	0.3549909868
285	0.3549860521
286	0.3549811233
287	0.354977462
288	0.3549741268
289	0.3549682609
290	0.3549635483
291	0.3549587518
292	0.3549552098
293	0.3549501689
294	0.3549456687
295	0.3549394597
296	0.3549345953
297	0.3549311806
298	0.3549275163
299	0.3549229524
300	0.3549179805
301	0.3549119258
302	0.3549101592
303	0.3549050423
304	0.3549007039
305	0.3548945405
306	0.3548909982
307	0.3548871914
308	0.354881927
309	0.3548782867
310	0.3548730683
311	0.3548701139
312	0.3548658467
313	0.3548593979
314	0.3548542324
315	0.3548491593
316	0.354843698
317	0.3548401266
318	0.3548369995
319	0.354830889
320	0.3548263921
321	0.3548234768
322	0.3548205199
323	0.3548163235
324	0.3548131888
325	0.3548071143
326	0.3548044933
327	0.3548016288
328	0.3547967973
329	0.3547920313
330	0.3547885906
331	0.3547832269
332	0.3547794668
333	0.3547766522
334	0.3547712788
335	0.3547656866
336	0.3547619508
337	0.3547585613
338	0.3547536249
339	0.3547498415
340	0.3547460581
341	0.3547422425
342	0.3547383948
343	0.3547354377
344	0.3547321828
345	0.3547287862
346	0.3547257878
347	0.3547211134
348	0.3547172796
349	0.3547128415
350	0.3547096949
351	0.3547051912
352	0.3546995762
353	0.3546975756
354	0.3546959342
355	0.3546933444
356	0.3546899455
357	0.3546846587
358	0.3546819339
359	0.3546647452
360	0.3546612195
361	0.3546578848
362	0.3546529687
363	0.3546496259
364	0.3546458721
365	0.3546419826
366	0.3546368788
367	0.3546314183
368	0.3546282317
369	0.3546245401
370	0.3546201224
371	0.3546160573
372	0.3546133185
373	0.3546090682
374	0.3546066126
375	0.3545977874
376	0.354595047
377	0.3545915842
378	0.3545876078
379	0.354583459
380	0.354578576
381	0.3545754403
382	0.3545730267
383	0.3545684145
384	0.3545642759
385	0.3545601473
386	0.3545564756
387	0.3545533534
388	0.3545496803
389	0.3545460417
390	0.3545410338
391	0.3545367243
392	0.3545316948
393	0.3545268125
394	0.3545233017
395	0.3545187362
396	0.3545154523
397	0.3545128498
398	0.3545078309
399	0.3545035543
400	0.3544999008
401	0.3544949739
402	0.3544910634
403	0.354486629
404	0.3544834039
405	0.3544796129
406	0.3544752435
407	0.3544715273
408	0.3544684498
409	0.3544646197
410	0.3544593933
411	0.3544540659
412	0.3544509449
413	0.3544482593
414	0.3544450221
415	0.3544399305
416	0.3544355703
417	0.354429558
418	0.3544266497
419	0.3544234181
420	0.3544201164
421	0.3544171254
422	0.3544127355
423	0.3544095081
424	0.3544072848
425	0.3544007763
426	0.3543970682
427	0.3543939209
428	0.3543905013
429	0.3543860449
430	0.3543817809
431	0.3543767186
432	0.3543729511
433	0.35436876
434	0.3543659995
435	0.3543600666
