iter	Passed	Remaining
0	141	16897
1	278	16422
2	410	16010
3	544	15794
4	677	15583
5	805	15304
6	944	15239
7	1076	15073
8	1224	15101
9	1354	14895
10	1478	14647
11	1606	14457
12	1738	14309
13	1869	14152
14	1987	13913
15	2117	13761
16	2256	13673
17	2391	13553
18	2525	13423
19	2670	13353
20	2801	13206
21	2937	13083
22	3086	13018
23	3219	12877
24	3351	12736
25	3508	12685
26	3666	12630
27	3791	12457
28	3937	12356
29	4080	12241
30	4220	12116
31	4369	12016
32	4504	11874
33	4627	11705
34	4754	11547
35	4877	11381
36	4997	11209
37	5112	11033
38	5236	10875
39	5368	10737
40	5508	10613
41	5645	10484
42	5781	10352
43	5925	10234
44	6061	10101
45	6201	9975
46	6334	9837
47	6460	9690
48	6581	9536
49	6704	9386
50	6839	9252
51	6957	9098
52	7084	8955
53	7213	8816
54	7343	8678
55	7467	8534
56	7597	8397
57	7729	8262
58	7871	8138
59	7990	7990
60	8124	7857
61	8260	7727
62	8403	7603
63	8524	7458
64	8666	7332
65	8802	7202
66	8934	7067
67	9070	6936
68	9199	6799
69	9325	6660
70	9457	6526
71	9584	6389
72	9701	6246
73	9819	6103
74	9954	5972
75	10097	5845
76	10229	5712
77	10367	5582
78	10498	5448
79	10623	5311
80	10760	5180
81	10880	5041
82	11021	4913
83	11157	4781
84	11275	4642
85	11412	4511
86	11555	4383
87	11683	4248
88	11815	4115
89	11933	3977
90	12095	3854
91	12224	3720
92	12364	3589
93	12484	3453
94	12606	3317
95	12742	3185
96	12864	3050
97	12985	2915
98	13122	2783
99	13253	2650
100	13382	2517
101	13516	2385
102	13647	2252
103	13765	2117
104	13903	1986
105	14025	1852
106	14145	1718
107	14275	1586
108	14407	1453
109	14544	1322
110	14671	1189
111	14792	1056
112	14929	924
113	15069	793
114	15199	660
115	15304	527
116	15437	395
117	15577	264
118	15705	131
119	15825	0
