post_id,like_count,views,ctr,mean_tfidf_scaled,topic_covid,topic_entertainment,topic_movie,topic_politics,topic_sport,topic_tech,text_length_group_medium,text_length_group_short
1,84,617.0,0.13614262560777957,0.6276069032786872,False,False,False,False,False,False,False,False
2,58,549.0,0.10564663023679417,1.4928794315139333,False,False,False,False,False,False,False,False
3,86,575.0,0.14956521739130435,1.7007228395617218,False,False,False,False,False,False,False,False
4,104,590.0,0.17627118644067796,-0.16252494853942773,False,False,False,False,False,False,True,False
5,88,589.0,0.1494057724957555,-0.21996450978113752,False,False,False,False,False,False,True,False
6,164,1439.0,0.11396803335649756,-0.04879505458745663,False,False,False,False,False,False,True,False
14,55,539.0,0.10204081632653061,-0.2626999145998596,False,False,False,False,False,False,True,False
2366,0,,,-1.2957848615395353,True,False,False,False,False,False,False,True
7,38,544.0,0.06985294117647059,0.5127613857415255,False,False,False,False,False,False,False,False
8,80,559.0,0.14311270125223613,0.14482240158136156,False,False,False,False,False,False,False,False
9,141,1296.0,0.1087962962962963,0.04829613401006091,False,False,False,False,False,False,False,False
10,127,1235.0,0.10283400809716599,0.23793020426203051,False,False,False,False,False,False,False,False
11,86,571.0,0.15061295971978983,0.4835948823651642,False,False,False,False,False,False,False,False
15,79,543.0,0.14548802946593,0.5341634870683001,False,False,False,False,False,False,False,False
16,96,586.0,0.16382252559726962,0.1068962111199608,False,False,False,False,False,False,True,False
17,0,,,0.30856099579889723,False,False,False,False,False,False,True,False
18,92,570.0,0.16140350877192983,0.8340224293875994,False,False,False,False,False,False,False,False
19,76,611.0,0.12438625204582651,0.4991422219053236,False,False,False,False,False,False,False,False
2367,77,582.0,0.1323024054982818,-1.4451442721957748,True,False,False,False,False,False,False,True
2368,62,500.0,0.124,-1.33586740040341,True,False,False,False,False,False,False,True
2369,46,478.0,0.09623430962343096,-1.3212319747464374,True,False,False,False,False,False,False,True
2370,61,507.0,0.1203155818540434,-1.854614840097199,True,False,False,False,False,False,False,True
20,70,555.0,0.12612612612612611,0.5930836308616146,False,False,False,False,False,False,False,False
21,128,1322.0,0.09682299546142209,0.3291236309175845,False,False,False,False,False,False,True,False
22,81,550.0,0.14727272727272728,1.1482409277557555,False,False,False,False,False,False,False,False
23,54,531.0,0.1016949152542373,0.6173323384147709,False,False,False,False,False,False,False,False
24,133,1327.0,0.10022607385079126,0.2014355422458194,False,False,False,False,False,False,True,False
25,85,593.0,0.1433389544688027,0.8856530583620636,False,False,False,False,False,False,False,False
2371,173,913.0,0.18948521358159912,-1.3939090958878861,True,False,False,False,False,False,False,True
2372,63,499.0,0.12625250501002003,-1.379172171471816,True,False,False,False,False,False,False,True
2373,66,491.0,0.13441955193482688,-1.5226916008442088,True,False,False,False,False,False,False,True
26,0,,,0.538259686732572,False,False,False,False,False,False,True,False
27,0,,,0.8996049413355686,False,False,False,False,False,False,False,False
28,81,974.0,0.08316221765913757,-0.0036899192066893417,False,False,False,False,False,False,True,False
29,0,,,0.5619456242894669,False,False,False,False,False,False,False,False
30,156,880.0,0.17727272727272728,2.105831514425511,False,False,False,False,False,False,False,False
31,0,,,0.12470269878795659,False,False,False,False,False,False,True,False
32,89,572.0,0.1555944055944056,0.2402389226396183,False,False,False,False,False,False,False,False
583,86,646.0,0.13312693498452013,-0.06759681351084042,False,True,False,False,False,False,True,False
33,0,,,0.39518610811066257,False,False,False,False,False,False,True,False
34,69,596.0,0.11577181208053691,0.8933732534495177,False,False,False,False,False,False,False,False
35,86,613.0,0.1402936378466558,2.0284672740210303,False,False,False,False,False,False,False,False
36,81,572.0,0.14160839160839161,1.1682071861859098,False,False,False,False,False,False,False,False
37,228,1560.0,0.14615384615384616,1.5584800312185794,False,False,False,False,False,False,False,False
38,75,556.0,0.13489208633093525,-0.1218194136975333,False,False,False,False,False,False,True,False
44,73,561.0,0.13012477718360071,0.021605420944296662,False,False,False,False,False,False,True,False
2374,179,1082.0,0.16543438077634012,-1.3229766161721759,True,False,False,False,False,False,False,True
39,75,555.0,0.13513513513513514,0.7019188803439702,False,False,False,False,False,False,False,False
40,0,,,0.09739336885863224,False,False,False,False,False,False,False,False
41,89,596.0,0.1493288590604027,1.195940822125716,False,False,False,False,False,False,False,False
42,0,,,0.6538833149275057,False,False,False,False,False,False,False,False
43,76,938.0,0.08102345415778252,0.9147866504631246,False,False,False,False,False,False,False,False
2375,56,484.0,0.11570247933884298,-1.4426001284263619,True,False,False,False,False,False,False,True
2376,186,1107.0,0.16802168021680217,-1.346352412815295,True,False,False,False,False,False,False,True
2377,64,498.0,0.1285140562248996,-1.3304183572885195,True,False,False,False,False,False,False,True
45,78,538.0,0.1449814126394052,0.08590306959412655,False,False,False,False,False,False,True,False
46,92,556.0,0.16546762589928057,0.4343356621889239,False,False,False,False,False,False,False,False
47,81,577.0,0.14038128249566725,-0.3160250478896245,False,False,False,False,False,False,True,False
48,94,613.0,0.1533442088091354,0.9497278295508977,False,False,False,False,False,False,False,False
49,236,1503.0,0.15701929474384566,0.009630122838426984,False,False,False,False,False,False,True,False
50,81,543.0,0.14917127071823205,1.1117794306602906,False,False,False,False,False,False,False,False
2378,188,1479.0,0.1271129141311697,-1.3694760467967273,True,False,False,False,False,False,False,True
2379,55,460.0,0.11956521739130435,-1.325360438319083,True,False,False,False,False,False,False,True
2380,206,1121.0,0.18376449598572703,-1.3193713847526365,True,False,False,False,False,False,False,True
2381,129,868.0,0.14861751152073732,-1.389641752869553,True,False,False,False,False,False,False,True
2382,166,1084.0,0.15313653136531366,-1.3262016932027854,True,False,False,False,False,False,False,True
51,61,518.0,0.11776061776061776,0.9914595150008897,False,False,False,False,False,False,False,False
52,83,549.0,0.151183970856102,0.44125934006525336,False,False,False,False,False,False,False,False
53,90,561.0,0.16042780748663102,0.1153624256105242,False,False,False,False,False,False,True,False
54,97,566.0,0.17137809187279152,0.3972596563391898,False,False,False,False,False,False,True,False
55,91,525.0,0.17333333333333334,0.42932523406848905,False,False,False,False,False,False,True,False
56,78,943.0,0.08271474019088017,0.11508227502598449,False,False,False,False,False,False,True,False
57,98,559.0,0.17531305903398928,0.5629965592630961,False,False,False,False,False,False,False,False
59,93,607.0,0.15321252059308071,0.19644244512483047,False,False,False,False,False,False,False,False
60,90,601.0,0.1497504159733777,0.9739992334507944,False,False,False,False,False,False,False,False
67,59,524.0,0.11259541984732824,0.47333868205004276,False,False,False,False,False,False,True,False
61,78,566.0,0.13780918727915195,0.5154084006484739,False,False,False,False,False,False,False,False
62,77,654.0,0.11773700305810397,1.6285479580584374,False,False,False,False,False,False,False,False
63,136,1307.0,0.10405508798775823,0.2005596951528417,False,False,False,False,False,False,False,False
64,86,596.0,0.14429530201342283,0.566219779897314,False,False,False,False,False,False,False,False
65,58,545.0,0.10642201834862386,1.2683476700509355,False,False,False,False,False,False,False,False
66,78,556.0,0.14028776978417265,1.3640515914435465,False,False,False,False,False,False,False,False
1473,210,1616.0,0.12995049504950495,-0.015925014976773615,False,False,False,False,True,False,True,False
68,91,553.0,0.16455696202531644,0.5592832648339406,False,False,False,False,False,False,False,False
69,0,,,0.7210965631936699,False,False,False,False,False,False,False,False
70,80,552.0,0.14492753623188406,0.6924633261719917,False,False,False,False,False,False,False,False
71,81,626.0,0.12939297124600638,0.8475633886547016,False,False,False,False,False,False,False,False
82,103,661.0,0.15582450832072617,0.25420419185587456,False,False,False,False,False,False,True,False
72,86,606.0,0.1419141914191419,0.8057993939999754,False,False,False,False,False,False,False,False
74,72,544.0,0.1323529411764706,0.33373820885530414,False,False,False,False,False,False,False,False
75,67,530.0,0.12641509433962264,0.22919091486797283,False,False,False,False,False,False,False,False
76,97,587.0,0.16524701873935263,0.31374921307849596,False,False,False,False,False,False,True,False
102,97,577.0,0.1681109185441941,1.3464865877010654,False,False,False,False,False,False,False,False
285,97,539.0,0.17996289424860853,0.2761124703672093,False,False,False,False,False,False,True,False
77,91,540.0,0.1685185185185185,0.43754367116858395,False,False,False,False,False,False,False,False
78,89,591.0,0.1505922165820643,0.4628080341169457,False,False,False,False,False,False,False,False
79,97,591.0,0.16412859560067683,0.11037975436779586,False,False,False,False,False,False,True,False
80,0,,,0.6199701178003474,False,False,False,False,False,False,True,False
81,46,538.0,0.08550185873605948,-0.09975313495017113,False,False,False,False,False,False,True,False
2383,66,546.0,0.12087912087912088,-1.3148956257274949,True,False,False,False,False,False,False,True
2384,64,518.0,0.12355212355212356,-1.300220260157907,True,False,False,False,False,False,False,True
83,95,587.0,0.16183986371379896,0.5983778856345306,False,False,False,False,False,False,True,False
84,75,591.0,0.12690355329949238,0.15453139141442776,False,False,False,False,False,False,True,False
85,79,582.0,0.13573883161512026,0.9953064881733428,False,False,False,False,False,False,False,False
87,74,548.0,0.13503649635036497,0.5197899149406979,False,False,False,False,False,False,False,False
88,0,,,0.3199992873071681,False,False,False,False,False,False,False,False
2385,59,472.0,0.125,-1.286924991620415,True,False,False,False,False,False,False,True
2386,62,489.0,0.12678936605316973,-1.3044455757977798,True,False,False,False,False,False,False,True
89,88,604.0,0.1456953642384106,0.3365805077680745,False,False,False,False,False,False,False,False
92,0,,,0.32634361820213464,False,False,False,False,False,False,False,False
93,73,623.0,0.11717495987158909,0.6273542087345023,False,False,False,False,False,False,False,False
94,93,602.0,0.15448504983388706,0.18863605470270323,False,False,False,False,False,False,True,False
95,0,,,0.27980394225463906,False,False,False,False,False,False,True,False
96,86,940.0,0.09148936170212765,0.49370901489436997,False,False,False,False,False,False,False,False
97,77,533.0,0.14446529080675422,1.0910840448638641,False,False,False,False,False,False,False,False
98,89,597.0,0.1490787269681742,0.14513347154505518,False,False,False,False,False,False,True,False
99,98,531.0,0.18455743879472694,0.2176856575768244,False,False,False,False,False,False,False,False
100,73,558.0,0.13082437275985664,0.12722506557580987,False,False,False,False,False,False,True,False
101,180,1451.0,0.12405237767057202,0.6090089188106912,False,False,False,False,False,False,False,False
103,127,1349.0,0.09414381022979985,0.37887310923676987,False,False,False,False,False,False,False,False
104,88,971.0,0.09062821833161688,0.7496046114329964,False,False,False,False,False,False,False,False
105,53,565.0,0.09380530973451327,0.16516056830103004,False,False,False,False,False,False,True,False
106,91,585.0,0.15555555555555556,0.8859976050759663,False,False,False,False,False,False,False,False
107,85,559.0,0.1520572450805009,1.4781106833224429,False,False,False,False,False,False,False,False
123,83,580.0,0.14310344827586208,0.15481891091342004,False,False,False,False,False,False,True,False
